scenario_id,scenario_name,suite_tier,source,mnist_label,grouping_policy,et_enabled,repetitions,cycles_mean,cycles_median,wall_median_ms,throughput_macs_per_cycle,lane_occupancy,multiplier_utilization,accumulator_utilization,memory_stall_ratio,broadcast_stall_ratio,dram_bytes,onchip_buffer_bytes,activation_reuse_hits,activation_reuse_misses,weight_reuse_hits,weight_reuse_misses,memory_requests_avoided,work_stealing_events,tasks_terminated_early,output_elements_terminated_early,macs_skipped_total,macs_skipped_et_only,macs_skipped_reactive_only,macs_skipped_proactive_only,macs_skipped_zero_only,bit_steps_skipped_total,bit_steps_skipped_et_only,bit_steps_skipped_bit_column_only,zero_run_events,average_processed_fraction_per_task,total_mismatches,max_absolute_error,mean_absolute_error,mean_relative_error,jain_fairness,variance_group_completed_tasks,variance_group_active_lane_cycles,estimated_cycles_saved_early_termination,processed_fraction_p10,processed_fraction_p50,processed_fraction_p90,mean_skipped_macs_per_terminated_task
extended-synthetic-memory-pressure-uniform-seed-1,Extended synthetic memory-pressure seed 1,extended,synthetic,-1,ETAwareCostBalancedMemoryAware,Off,1,3158821.000000,3158821.000000,92528.656588,0.559319,0.109946,0.019439,0.019439,0.886722,0.002576,2643196,6802658,73132,1693658,882788,884002,1351494,8630,0,0,592506,0,366808,225698,592506,11923756,0,11923756,116068,0.748863,0,0,0.000000,0.000000,0.999947,4579.222222,223010355.000000,0,0.748863,0.748863,0.748863,0.000000
extended-synthetic-memory-pressure-uniform-seed-1,Extended synthetic memory-pressure seed 1,extended,synthetic,-1,ETAwareCostBalancedMemoryAware,On,1,2162070.000000,2162070.000000,65121.995821,0.552313,0.108309,0.019491,0.019491,0.888174,0.002625,1861138,4672620,59345,1139598,542939,656004,856508,7214,7969,7969,1160353,855974,187739,116640,304379,14922254,6853652,8068602,59720,0.508178,0,0,0.000000,0.000000,0.999988,271052.888889,17480209.805556,8565600,0.508178,0.508178,0.508178,107.412975
