Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=kernel
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-1 (label=2) | TaskRoundRobin | On | 13184.000 | 542.880096 | 0.570161 | 0.268600 | 0.047621 | 0.047621 | 0.698951 | 0.027729 | 25325 | 70635 | 8277 | 165 | 8370 | 72 | 29956 | 52 | 4010 | 4010 | 48006 | 27554 | 13055 | 7397 | 20452 | 265366 | 224933 | 40433 | 2484 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalanced | Off | 16429.000 | 1807.847081 | 0.723112 | 0.342504 | 0.057191 | 0.057191 | 0.585318 | 0.068573 | 25325 | 76787 | 11715 | 165 | 11808 | 72 | 44432 | 2088 | 0 | 0 | 44568 | 0 | 28594 | 15974 | 44568 | 61215 | 0 | 61215 | 5864 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalanced | On | 12725.000 | 1881.418525 | 0.590727 | 0.278289 | 0.049339 | 0.049339 | 0.660441 | 0.056627 | 25325 | 69279 | 8277 | 165 | 8370 | 72 | 31312 | 3075 | 4010 | 4010 | 48006 | 27554 | 13055 | 7397 | 20452 | 265366 | 224933 | 40433 | 2484 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalancedMemoryAware | Off | 16391.000 | 4360.751476 | 0.724788 | 0.343298 | 0.057323 | 0.057323 | 0.574297 | 0.074070 | 25325 | 76627 | 11715 | 165 | 11808 | 72 | 44592 | 4902 | 0 | 0 | 44568 | 0 | 28594 | 15974 | 44568 | 61215 | 0 | 61215 | 5864 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalancedMemoryAware | On | 12843.000 | 4263.844442 | 0.585299 | 0.275732 | 0.048885 | 0.048885 | 0.654505 | 0.058374 | 25325 | 69280 | 8277 | 165 | 8370 | 72 | 31311 | 5079 | 4010 | 4010 | 48006 | 27554 | 13055 | 7397 | 20452 | 265366 | 224933 | 40433 | 2484 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | BroadcastPhaseAwareFanoutBalanced | Off | 16010.000 | 837.012741 | 0.742036 | 0.351468 | 0.058687 | 0.058687 | 0.572635 | 0.074507 | 25325 | 76031 | 11715 | 165 | 11808 | 72 | 45188 | 1159 | 0 | 0 | 44568 | 0 | 28594 | 15974 | 44568 | 61215 | 0 | 61215 | 5864 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | BroadcastPhaseAwareFanoutBalanced | On | 12425.000 | 776.438056 | 0.604990 | 0.285008 | 0.050530 | 0.050530 | 0.656606 | 0.056398 | 25325 | 68813 | 8277 | 165 | 8370 | 72 | 31778 | 1249 | 4010 | 4010 | 48006 | 27554 | 13055 | 7397 | 20452 | 265366 | 224933 | 40433 | 2484 | 0.149554 | 0
extended-mnist-sample-1038 (label=1) | OutputChannelModulo | Off | 9750.000 | 403.647833 | 0.332308 | 0.379721 | 0.026282 | 0.026282 | 0.593504 | 0.012684 | 25205 | 57070 | 3195 | 45 | 3168 | 72 | 12429 | 1085 | 0 | 0 | 53208 | 0 | 34973 | 18235 | 53208 | 16695 | 0 | 16695 | 6600 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | OutputChannelModulo | On | 7942.000 | 445.541275 | 0.259381 | 0.268600 | 0.021856 | 0.021856 | 0.713674 | 0.006317 | 25205 | 55313 | 2323 | 45 | 2296 | 72 | 8954 | 1191 | 4450 | 4450 | 54080 | 30027 | 15620 | 8433 | 24053 | 252911 | 241713 | 11198 | 2639 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | TaskRoundRobin | Off | 9683.000 | 465.784559 | 0.334607 | 0.382348 | 0.026464 | 0.026464 | 0.607548 | 0.003870 | 25205 | 57358 | 3195 | 45 | 3168 | 72 | 12141 | 11 | 0 | 0 | 53208 | 0 | 34973 | 18235 | 53208 | 16695 | 0 | 16695 | 6600 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | TaskRoundRobin | On | 8124.000 | 441.795741 | 0.253570 | 0.262583 | 0.021367 | 0.021367 | 0.722947 | 0.002694 | 25205 | 55605 | 2323 | 45 | 2296 | 72 | 8662 | 42 | 4450 | 4450 | 54080 | 30027 | 15620 | 8433 | 24053 | 252911 | 241713 | 11198 | 2639 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalanced | Off | 9547.000 | 1660.269262 | 0.339374 | 0.387795 | 0.026841 | 0.026841 | 0.579859 | 0.029870 | 25205 | 57168 | 3195 | 45 | 3168 | 72 | 12331 | 2554 | 0 | 0 | 53208 | 0 | 34973 | 18235 | 53208 | 16695 | 0 | 16695 | 6600 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalanced | On | 7726.000 | 1466.333233 | 0.266632 | 0.276110 | 0.022467 | 0.022467 | 0.692877 | 0.022755 | 25205 | 55372 | 2323 | 45 | 2296 | 72 | 8895 | 2465 | 4450 | 4450 | 54080 | 30027 | 15620 | 8433 | 24053 | 252911 | 241713 | 11198 | 2639 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalancedMemoryAware | Off | 9552.000 | 4860.198710 | 0.339196 | 0.387592 | 0.026827 | 0.026827 | 0.582941 | 0.027237 | 25205 | 57161 | 3195 | 45 | 3168 | 72 | 12338 | 4421 | 0 | 0 | 53208 | 0 | 34973 | 18235 | 53208 | 16695 | 0 | 16695 | 6600 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalancedMemoryAware | On | 7856.000 | 4414.238774 | 0.262220 | 0.271541 | 0.022096 | 0.022096 | 0.696120 | 0.023641 | 25205 | 55376 | 2323 | 45 | 2296 | 72 | 8891 | 4816 | 4450 | 4450 | 54080 | 30027 | 15620 | 8433 | 24053 | 252911 | 241713 | 11198 | 2639 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | BroadcastPhaseAwareFanoutBalanced | Off | 9618.000 | 707.781909 | 0.336868 | 0.384932 | 0.026643 | 0.026643 | 0.591683 | 0.021271 | 25205 | 57110 | 3195 | 45 | 3168 | 72 | 12389 | 1002 | 0 | 0 | 53208 | 0 | 34973 | 18235 | 53208 | 16695 | 0 | 16695 | 6600 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | BroadcastPhaseAwareFanoutBalanced | On | 7860.000 | 695.971910 | 0.262087 | 0.271402 | 0.022084 | 0.022084 | 0.709496 | 0.016539 | 25205 | 55350 | 2323 | 45 | 2296 | 72 | 8917 | 1192 | 4450 | 4450 | 54080 | 30027 | 15620 | 8433 | 24053 | 252911 | 241713 | 11198 | 2639 | 0.041950 | 0
extended-mnist-sample-11 (label=6) | OutputChannelModulo | Off | 16287.000 | 703.100862 | 0.760361 | 0.352937 | 0.060137 | 0.060137 | 0.559304 | 0.078517 | 25332 | 76353 | 12212 | 172 | 12312 | 72 | 47883 | 958 | 0 | 0 | 44064 | 0 | 28197 | 15867 | 44064 | 63812 | 0 | 63812 | 6008 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | OutputChannelModulo | On | 12905.000 | 593.471971 | 0.609221 | 0.282193 | 0.050764 | 0.050764 | 0.652921 | 0.051937 | 25332 | 69268 | 8659 | 172 | 8759 | 72 | 33650 | 1111 | 3932 | 3932 | 47617 | 27162 | 12984 | 7471 | 20455 | 264360 | 222086 | 42274 | 2648 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | TaskRoundRobin | Off | 18486.000 | 1115.362597 | 0.669912 | 0.310953 | 0.052983 | 0.052983 | 0.657248 | 0.025728 | 25332 | 83630 | 12212 | 172 | 12312 | 72 | 40606 | 52 | 0 | 0 | 44064 | 0 | 28197 | 15867 | 44064 | 63812 | 0 | 63812 | 6008 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | TaskRoundRobin | On | 13699.000 | 663.530596 | 0.573911 | 0.265837 | 0.047822 | 0.047822 | 0.698070 | 0.028936 | 25332 | 71700 | 8659 | 172 | 8759 | 72 | 31218 | 50 | 3932 | 3932 | 47617 | 27162 | 12984 | 7471 | 20455 | 264360 | 222086 | 42274 | 2648 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalanced | Off | 17033.000 | 1380.592209 | 0.727059 | 0.337479 | 0.057503 | 0.057503 | 0.588529 | 0.068897 | 25332 | 78085 | 12212 | 172 | 12312 | 72 | 46151 | 1563 | 0 | 0 | 44064 | 0 | 28197 | 15867 | 44064 | 63812 | 0 | 63812 | 6008 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalanced | On | 13154.000 | 1775.274233 | 0.597689 | 0.276851 | 0.049803 | 0.049803 | 0.661611 | 0.054333 | 25332 | 70350 | 8659 | 172 | 8759 | 72 | 32568 | 2538 | 3932 | 3932 | 47617 | 27162 | 12984 | 7471 | 20455 | 264360 | 222086 | 42274 | 2648 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalancedMemoryAware | Off | 17137.000 | 4425.769927 | 0.722647 | 0.335431 | 0.057154 | 0.057154 | 0.587995 | 0.068507 | 25332 | 78310 | 12212 | 172 | 12312 | 72 | 45926 | 4285 | 0 | 0 | 44064 | 0 | 28197 | 15867 | 44064 | 63812 | 0 | 63812 | 6008 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | ETAwareCostBalancedMemoryAware | On | 13409.000 | 4514.077496 | 0.586323 | 0.271586 | 0.048856 | 0.048856 | 0.658202 | 0.057200 | 25332 | 70432 | 8659 | 172 | 8759 | 72 | 32486 | 5038 | 3932 | 3932 | 47617 | 27162 | 12984 | 7471 | 20455 | 264360 | 222086 | 42274 | 2648 | 0.156445 | 0
extended-mnist-sample-11 (label=6) | BroadcastPhaseAwareFanoutBalanced | Off | 16587.000 | 807.644128 | 0.746609 | 0.346553 | 0.059049 | 0.059049 | 0.576085 | 0.071820 | 25332 | 77228 | 12212 | 172 | 12312 | 72 | 47008 | 638 | 0 | 0 | 44064 | 0 | 28197 | 15867 | 44064 | 63812 | 0 | 63812 | 6008 | 0.219388 | 0
extended-mnist-sample-11 (label=6) | BroadcastPhaseAwareFanoutBalanced | On | 12945.000 | 818.955273 | 0.607339 | 0.281321 | 0.050607 | 0.050607 | 0.655732 | 0.055141 | 25332 | 69940 | 8659 | 172 | 8759 | 72 | 32978 | 1092 | 3932 | 3932 | 47617 | 27162 | 12984 | 7471 | 20455 | 264360 | 222086 | 42274 | 2648 | 0.156445 | 0
extended-mnist-sample-18 (label=3) | OutputChannelModulo | Off | 18010.000 | 721.916177 | 0.839534 | 0.353677 | 0.066398 | 0.066398 | 0.551990 | 0.088878 | 25370 | 82175 | 14910 | 210 | 15048 | 72 | 58439 | 979 | 0 | 0 | 41328 | 0 | 26239 | 15089 | 41328 | 77910 | 0 | 77910 | 5928 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | OutputChannelModulo | On | 14362.000 | 629.968701 | 0.677273 | 0.285095 | 0.055805 | 0.055805 | 0.640604 | 0.062128 | 25370 | 73620 | 10571 | 210 | 10709 | 72 | 40960 | 1079 | 3830 | 3830 | 45667 | 26467 | 12056 | 7144 | 19200 | 269131 | 216850 | 52281 | 2618 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | TaskRoundRobin | Off | 20982.000 | 777.040007 | 0.720618 | 0.303580 | 0.056993 | 0.056993 | 0.658959 | 0.029704 | 25370 | 90917 | 14910 | 210 | 15048 | 72 | 49697 | 45 | 0 | 0 | 41328 | 0 | 26239 | 15089 | 41328 | 77910 | 0 | 77910 | 5928 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | TaskRoundRobin | On | 15937.000 | 629.017898 | 0.610341 | 0.256920 | 0.050290 | 0.050290 | 0.707466 | 0.025329 | 25370 | 78567 | 10571 | 210 | 10709 | 72 | 36013 | 67 | 3830 | 3830 | 45667 | 26467 | 12056 | 7144 | 19200 | 269131 | 216850 | 52281 | 2618 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalanced | Off | 19456.000 | 1495.708512 | 0.777138 | 0.327391 | 0.061463 | 0.061463 | 0.595677 | 0.069996 | 25370 | 84951 | 14910 | 210 | 15048 | 72 | 55663 | 1947 | 0 | 0 | 41328 | 0 | 26239 | 15089 | 41328 | 77910 | 0 | 77910 | 5928 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalanced | On | 14910.000 | 1592.326996 | 0.652381 | 0.274616 | 0.053754 | 0.053754 | 0.662581 | 0.055291 | 25370 | 75562 | 10571 | 210 | 10709 | 72 | 39018 | 2611 | 3830 | 3830 | 45667 | 26467 | 12056 | 7144 | 19200 | 269131 | 216850 | 52281 | 2618 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalancedMemoryAware | Off | 19479.000 | 2909.269092 | 0.776221 | 0.327005 | 0.061391 | 0.061391 | 0.596369 | 0.071815 | 25370 | 85243 | 14910 | 210 | 15048 | 72 | 55371 | 3771 | 0 | 0 | 41328 | 0 | 26239 | 15089 | 41328 | 77910 | 0 | 77910 | 5928 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalancedMemoryAware | On | 14818.000 | 3112.441746 | 0.656431 | 0.276321 | 0.054088 | 0.054088 | 0.653102 | 0.062482 | 25370 | 75174 | 10571 | 210 | 10709 | 72 | 39406 | 4609 | 3830 | 3830 | 45667 | 26467 | 12056 | 7144 | 19200 | 269131 | 216850 | 52281 | 2618 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | BroadcastPhaseAwareFanoutBalanced | Off | 18785.000 | 942.317044 | 0.804898 | 0.339086 | 0.063659 | 0.063659 | 0.578461 | 0.079545 | 25370 | 83547 | 14910 | 210 | 15048 | 72 | 57067 | 552 | 0 | 0 | 41328 | 0 | 26239 | 15089 | 41328 | 77910 | 0 | 77910 | 5928 | 0.267857 | 0
