Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=kernel
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-2462 (label=2) | OutputChannelModulo | On | 19097.000 | 706.041131 | 0.837618 | 0.296655 | 0.068776 | 0.068776 | 0.602342 | 0.091467 | 25468 | 87390 | 16832 | 308 | 17068 | 72 | 65246 | 953 | 3464 | 3464 | 39308 | 23556 | 9977 | 5775 | 15752 | 278285 | 194025 | 84260 | 2061 | 0.303642 | 0
extended-mnist-sample-2462 (label=2) | TaskRoundRobin | Off | 27272.000 | 945.633648 | 0.813142 | 0.291673 | 0.064311 | 0.064311 | 0.661987 | 0.041495 | 25468 | 109735 | 21868 | 308 | 22104 | 72 | 73117 | 51 | 0 | 0 | 34272 | 0 | 21789 | 12483 | 34272 | 114268 | 0 | 114268 | 4800 | 0.392857 | 0
extended-mnist-sample-2462 (label=2) | TaskRoundRobin | On | 22107.000 | 809.480738 | 0.723572 | 0.256264 | 0.059412 | 0.059412 | 0.707596 | 0.031918 | 25468 | 97063 | 16832 | 308 | 17068 | 72 | 55573 | 62 | 3464 | 3464 | 39308 | 23556 | 9977 | 5775 | 15752 | 278285 | 194025 | 84260 | 2061 | 0.303642 | 0
extended-mnist-sample-2462 (label=2) | ETAwareCostBalanced | Off | 25021.000 | 1536.523104 | 0.886296 | 0.317913 | 0.070097 | 0.070097 | 0.600825 | 0.080438 | 25468 | 101947 | 21868 | 308 | 22104 | 72 | 80905 | 1409 | 0 | 0 | 34272 | 0 | 21789 | 12483 | 34272 | 114268 | 0 | 114268 | 4800 | 0.392857 | 0
extended-mnist-sample-2462 (label=2) | ETAwareCostBalanced | On | 20344.000 | 1637.783239 | 0.786276 | 0.278471 | 0.064560 | 0.064560 | 0.645974 | 0.070139 | 25468 | 90989 | 16832 | 308 | 17068 | 72 | 61647 | 2447 | 3464 | 3464 | 39308 | 23556 | 9977 | 5775 | 15752 | 278285 | 194025 | 84260 | 2061 | 0.303642 | 0
extended-mnist-sample-2462 (label=2) | ETAwareCostBalancedMemoryAware | Off | 25033.000 | 4591.677983 | 0.885871 | 0.317761 | 0.070063 | 0.070063 | 0.592584 | 0.084365 | 25468 | 101720 | 21868 | 308 | 22104 | 72 | 81132 | 4692 | 0 | 0 | 34272 | 0 | 21789 | 12483 | 34272 | 114268 | 0 | 114268 | 4800 | 0.392857 | 0
extended-mnist-sample-2462 (label=2) | ETAwareCostBalancedMemoryAware | On | 20074.000 | 4175.305754 | 0.796852 | 0.282217 | 0.065429 | 0.065429 | 0.640397 | 0.076186 | 25468 | 90643 | 16832 | 308 | 17068 | 72 | 61993 | 4613 | 3464 | 3464 | 39308 | 23556 | 9977 | 5775 | 15752 | 278285 | 194025 | 84260 | 2061 | 0.303642 | 0
extended-mnist-sample-2462 (label=2) | BroadcastPhaseAwareFanoutBalanced | Off | 23946.000 | 1129.930351 | 0.926084 | 0.332185 | 0.073244 | 0.073244 | 0.568254 | 0.098742 | 25468 | 99345 | 21868 | 308 | 22104 | 72 | 83507 | 963 | 0 | 0 | 34272 | 0 | 21789 | 12483 | 34272 | 114268 | 0 | 114268 | 4800 | 0.392857 | 0
extended-mnist-sample-2462 (label=2) | BroadcastPhaseAwareFanoutBalanced | On | 19448.000 | 1034.138711 | 0.822501 | 0.291301 | 0.067535 | 0.067535 | 0.617379 | 0.084070 | 25468 | 88337 | 16832 | 308 | 17068 | 72 | 64299 | 1486 | 3464 | 3464 | 39308 | 23556 | 9977 | 5775 | 15752 | 278285 | 194025 | 84260 | 2061 | 0.303642 | 0
extended-mnist-sample-2827 (label=1) | OutputChannelModulo | Off | 9604.000 | 488.131373 | 0.329863 | 0.383689 | 0.026089 | 0.026089 | 0.596942 | 0.012434 | 25204 | 56920 | 3124 | 44 | 3096 | 72 | 12148 | 1074 | 0 | 0 | 53280 | 0 | 35017 | 18263 | 53280 | 16324 | 0 | 16324 | 6592 | 0.056122 | 0
extended-mnist-sample-2827 (label=1) | OutputChannelModulo | On | 7862.000 | 412.450439 | 0.246375 | 0.267295 | 0.020881 | 0.020881 | 0.716251 | 0.005600 | 25204 | 55077 | 2209 | 44 | 2181 | 72 | 8501 | 1204 | 4463 | 4463 | 54195 | 30124 | 15616 | 8455 | 24071 | 253106 | 242565 | 10541 | 2640 | 0.039913 | 0
extended-mnist-sample-2827 (label=1) | TaskRoundRobin | Off | 9574.000 | 490.363587 | 0.330896 | 0.384891 | 0.026170 | 0.026170 | 0.605230 | 0.003757 | 25204 | 57208 | 3124 | 44 | 3096 | 72 | 11860 | 24 | 0 | 0 | 53280 | 0 | 35017 | 18263 | 53280 | 16324 | 0 | 16324 | 6592 | 0.056122 | 0
extended-mnist-sample-2827 (label=1) | TaskRoundRobin | On | 8066.000 | 468.657693 | 0.240144 | 0.260535 | 0.020353 | 0.020353 | 0.723865 | 0.002466 | 25204 | 55344 | 2209 | 44 | 2181 | 72 | 8234 | 39 | 4463 | 4463 | 54195 | 30124 | 15616 | 8455 | 24071 | 253106 | 242565 | 10541 | 2640 | 0.039913 | 0
extended-mnist-sample-2827 (label=1) | ETAwareCostBalanced | Off | 9488.000 | 1113.593781 | 0.333895 | 0.388379 | 0.026408 | 0.026408 | 0.586563 | 0.023006 | 25204 | 56998 | 3124 | 44 | 3096 | 72 | 12070 | 1899 | 0 | 0 | 53280 | 0 | 35017 | 18263 | 53280 | 16324 | 0 | 16324 | 6592 | 0.056122 | 0
extended-mnist-sample-2827 (label=1) | ETAwareCostBalanced | On | 7807.000 | 1221.239443 | 0.248111 | 0.269178 | 0.021028 | 0.021028 | 0.700959 | 0.015463 | 25204 | 55181 | 2209 | 44 | 2181 | 72 | 8397 | 2140 | 4463 | 4463 | 54195 | 30124 | 15616 | 8455 | 24071 | 253106 | 242565 | 10541 | 2640 | 0.039913 | 0
extended-mnist-sample-2827 (label=1) | ETAwareCostBalancedMemoryAware | Off | 9547.000 | 2631.391947 | 0.331832 | 0.385979 | 0.026244 | 0.026244 | 0.583252 | 0.025022 | 25204 | 57014 | 3124 | 44 | 3096 | 72 | 12054 | 3270 | 0 | 0 | 53280 | 0 | 35017 | 18263 | 53280 | 16324 | 0 | 16324 | 6592 | 0.056122 | 0
extended-mnist-sample-2827 (label=1) | ETAwareCostBalancedMemoryAware | On | 7674.000 | 2308.489125 | 0.252411 | 0.273843 | 0.021393 | 0.021393 | 0.697098 | 0.023188 | 25204 | 55079 | 2209 | 44 | 2181 | 72 | 8499 | 3567 | 4463 | 4463 | 54195 | 30124 | 15616 | 8455 | 24071 | 253106 | 242565 | 10541 | 2640 | 0.039913 | 0
extended-mnist-sample-2827 (label=1) | BroadcastPhaseAwareFanoutBalanced | Off | 9573.000 | 672.854205 | 0.330931 | 0.384931 | 0.026173 | 0.026173 | 0.592462 | 0.020207 | 25204 | 56978 | 3124 | 44 | 3096 | 72 | 12090 | 799 | 0 | 0 | 53280 | 0 | 35017 | 18263 | 53280 | 16324 | 0 | 16324 | 6592 | 0.056122 | 0
extended-mnist-sample-2827 (label=1) | BroadcastPhaseAwareFanoutBalanced | On | 7765.000 | 574.422655 | 0.249453 | 0.270634 | 0.021142 | 0.021142 | 0.707348 | 0.014703 | 25204 | 55123 | 2209 | 44 | 2181 | 72 | 8455 | 931 | 4463 | 4463 | 54195 | 30124 | 15616 | 8455 | 24071 | 253106 | 242565 | 10541 | 2640 | 0.039913 | 0
extended-mnist-sample-3 (label=0) | OutputChannelModulo | Off | 17206.000 | 672.880116 | 0.807625 | 0.353966 | 0.063875 | 0.063875 | 0.548861 | 0.088646 | 25353 | 79568 | 13703 | 193 | 13824 | 72 | 53719 | 1002 | 0 | 0 | 42552 | 0 | 27302 | 15250 | 42552 | 71603 | 0 | 71603 | 5752 | 0.246173 | 0
extended-mnist-sample-3 (label=0) | OutputChannelModulo | On | 14010.000 | 585.908980 | 0.673876 | 0.286914 | 0.055655 | 0.055655 | 0.634864 | 0.063871 | 25353 | 72511 | 10145 | 193 | 10266 | 72 | 39428 | 1077 | 3872 | 3872 | 46110 | 26496 | 12484 | 7130 | 19614 | 266602 | 216324 | 50278 | 2452 | 0.183142 | 0
extended-mnist-sample-3 (label=0) | TaskRoundRobin | Off | 19876.000 | 728.784155 | 0.699135 | 0.306416 | 0.055294 | 0.055294 | 0.660097 | 0.028368 | 25353 | 87662 | 13703 | 193 | 13824 | 72 | 45625 | 40 | 0 | 0 | 42552 | 0 | 27302 | 15250 | 42552 | 71603 | 0 | 71603 | 5752 | 0.246173 | 0
extended-mnist-sample-3 (label=0) | TaskRoundRobin | On | 15206.000 | 627.097370 | 0.620873 | 0.264347 | 0.051277 | 0.051277 | 0.700677 | 0.028867 | 25353 | 76458 | 10145 | 193 | 10266 | 72 | 35481 | 61 | 3872 | 3872 | 46110 | 26496 | 12484 | 7130 | 19614 | 266602 | 216324 | 50278 | 2452 | 0.183142 | 0
extended-mnist-sample-3 (label=0) | ETAwareCostBalanced | Off | 18441.000 | 1491.438982 | 0.753538 | 0.330260 | 0.059597 | 0.059597 | 0.591770 | 0.069834 | 25353 | 81915 | 13703 | 193 | 13824 | 72 | 51372 | 1705 | 0 | 0 | 42552 | 0 | 27302 | 15250 | 42552 | 71603 | 0 | 71603 | 5752 | 0.246173 | 0
extended-mnist-sample-3 (label=0) | ETAwareCostBalanced | On | 14567.000 | 1939.028428 | 0.648109 | 0.275943 | 0.053527 | 0.053527 | 0.656236 | 0.056936 | 25353 | 74244 | 10145 | 193 | 10266 | 72 | 37695 | 3094 | 3872 | 3872 | 46110 | 26496 | 12484 | 7130 | 19614 | 266602 | 216324 | 50278 | 2452 | 0.183142 | 0
extended-mnist-sample-3 (label=0) | ETAwareCostBalancedMemoryAware | Off | 18467.000 | 3814.364939 | 0.752477 | 0.329795 | 0.059513 | 0.059513 | 0.589111 | 0.071819 | 25353 | 81995 | 13703 | 193 | 13824 | 72 | 51292 | 4053 | 0 | 0 | 42552 | 0 | 27302 | 15250 | 42552 | 71603 | 0 | 71603 | 5752 | 0.246173 | 0
extended-mnist-sample-3 (label=0) | ETAwareCostBalancedMemoryAware | On | 14501.000 | 4215.911915 | 0.651059 | 0.277199 | 0.053770 | 0.053770 | 0.650241 | 0.062714 | 25353 | 73977 | 10145 | 193 | 10266 | 72 | 37962 | 5034 | 3872 | 3872 | 46110 | 26496 | 12484 | 7130 | 19614 | 266602 | 216324 | 50278 | 2452 | 0.183142 | 0
extended-mnist-sample-3 (label=0) | BroadcastPhaseAwareFanoutBalanced | Off | 17556.000 | 891.261487 | 0.791524 | 0.346909 | 0.062601 | 0.062601 | 0.572544 | 0.079321 | 25353 | 80481 | 13703 | 193 | 13824 | 72 | 52806 | 690 | 0 | 0 | 42552 | 0 | 27302 | 15250 | 42552 | 71603 | 0 | 71603 | 5752 | 0.246173 | 0
extended-mnist-sample-3 (label=0) | BroadcastPhaseAwareFanoutBalanced | On | 13998.000 | 891.738425 | 0.674453 | 0.287160 | 0.055702 | 0.055702 | 0.646578 | 0.064797 | 25353 | 73147 | 10145 | 193 | 10266 | 72 | 38792 | 1437 | 3872 | 3872 | 46110 | 26496 | 12484 | 7130 | 19614 | 266602 | 216324 | 50278 | 2452 | 0.183142 | 0
extended-mnist-sample-3768 (label=0) | OutputChannelModulo | Off | 22907.000 | 914.858929 | 0.952373 | 0.343684 | 0.075323 | 0.075323 | 0.539226 | 0.111907 | 25463 | 96514 | 21513 | 303 | 21744 | 72 | 84183 | 976 | 0 | 0 | 34632 | 0 | 21914 | 12718 | 34632 | 112413 | 0 | 112413 | 4944 | 0.386480 | 0
extended-mnist-sample-3768 (label=0) | OutputChannelModulo | On | 18922.000 | 739.674522 | 0.827080 | 0.295585 | 0.067927 | 0.067927 | 0.606692 | 0.089368 | 25463 | 86567 | 16517 | 303 | 16748 | 72 | 64154 | 956 | 3442 | 3442 | 39628 | 23417 | 10194 | 6017 | 16211 | 275625 | 193046 | 82579 | 2206 | 0.297973 | 0
extended-mnist-sample-3768 (label=0) | TaskRoundRobin | Off | 26911.000 | 852.173335 | 0.810672 | 0.292549 | 0.064116 | 0.064116 | 0.661262 | 0.041042 | 25463 | 108772 | 21513 | 303 | 21744 | 72 | 71925 | 56 | 0 | 0 | 34632 | 0 | 21914 | 12718 | 34632 | 112413 | 0 | 112413 | 4944 | 0.386480 | 0
extended-mnist-sample-3768 (label=0) | TaskRoundRobin | On | 21866.000 | 744.389044 | 0.715723 | 0.255788 | 0.058781 | 0.058781 | 0.705734 | 0.031172 | 25463 | 96181 | 16517 | 303 | 16748 | 72 | 54540 | 53 | 3442 | 3442 | 39628 | 23417 | 10194 | 6017 | 16211 | 275625 | 193046 | 82579 | 2206 | 0.297973 | 0
extended-mnist-sample-3768 (label=0) | ETAwareCostBalanced | Off | 24795.000 | 1659.572185 | 0.879855 | 0.317515 | 0.069587 | 0.069587 | 0.599379 | 0.082314 | 25463 | 101016 | 21513 | 303 | 21744 | 72 | 79681 | 1585 | 0 | 0 | 34632 | 0 | 21914 | 12718 | 34632 | 112413 | 0 | 112413 | 4944 | 0.386480 | 0
extended-mnist-sample-3768 (label=0) | ETAwareCostBalanced | On | 20009.000 | 1825.975546 | 0.782148 | 0.279527 | 0.064236 | 0.064236 | 0.642844 | 0.069999 | 25463 | 90114 | 16517 | 303 | 16748 | 72 | 60607 | 2775 | 3442 | 3442 | 39628 | 23417 | 10194 | 6017 | 16211 | 275625 | 193046 | 82579 | 2206 | 0.297973 | 0
extended-mnist-sample-3768 (label=0) | ETAwareCostBalancedMemoryAware | Off | 24931.000 | 4157.633741 | 0.875055 | 0.315783 | 0.069208 | 0.069208 | 0.597243 | 0.081051 | 25463 | 101569 | 21513 | 303 | 21744 | 72 | 79128 | 4571 | 0 | 0 | 34632 | 0 | 21914 | 12718 | 34632 | 112413 | 0 | 112413 | 4944 | 0.386480 | 0
extended-mnist-sample-3768 (label=0) | ETAwareCostBalancedMemoryAware | On | 19771.000 | 4436.327760 | 0.791563 | 0.282892 | 0.065010 | 0.065010 | 0.640314 | 0.073997 | 25463 | 89911 | 16517 | 303 | 16748 | 72 | 60810 | 4914 | 3442 | 3442 | 39628 | 23417 | 10194 | 6017 | 16211 | 275625 | 193046 | 82579 | 2206 | 0.297973 | 0
extended-mnist-sample-3768 (label=0) | BroadcastPhaseAwareFanoutBalanced | Off | 23453.000 | 1117.797290 | 0.930201 | 0.335683 | 0.073569 | 0.073569 | 0.565557 | 0.097878 | 25463 | 98121 | 21513 | 303 | 21744 | 72 | 82576 | 1121 | 0 | 0 | 34632 | 0 | 21914 | 12718 | 34632 | 112413 | 0 | 112413 | 4944 | 0.386480 | 0
extended-mnist-sample-3768 (label=0) | BroadcastPhaseAwareFanoutBalanced | On | 19037.000 | 1072.630166 | 0.822083 | 0.293799 | 0.067516 | 0.067516 | 0.614463 | 0.088471 | 25463 | 87403 | 16517 | 303 | 16748 | 72 | 63318 | 1619 | 3442 | 3442 | 39628 | 23417 | 10194 | 6017 | 16211 | 275625 | 193046 | 82579 | 2206 | 0.297973 | 0
extended-mnist-sample-4 (label=4) | OutputChannelModulo | Off | 13630.000 | 585.429689 | 0.633896 | 0.360247 | 0.050135 | 0.050135 | 0.579973 | 0.051661 | 25280 | 68320 | 8520 | 120 | 8568 | 72 | 33504 | 999 | 0 | 0 | 47808 | 0 | 30831 | 16977 | 47808 | 44520 | 0 | 44520 | 6384 | 0.153061 | 0
extended-mnist-sample-4 (label=4) | OutputChannelModulo | On | 10931.000 | 511.025580 | 0.513585 | 0.279783 | 0.042804 | 0.042804 | 0.674959 | 0.035211 | 25280 | 63670 | 6199 | 120 | 6247 | 72 | 24228 | 1093 | 4110 | 4110 | 50129 | 28193 | 14012 | 7924 | 21936 | 259252 | 229005 | 30247 | 2701 | 0.111944 | 0
extended-mnist-sample-4 (label=4) | TaskRoundRobin | Off | 13617.000 | 623.880322 | 0.634501 | 0.360591 | 0.050182 | 0.050182 | 0.592574 | 0.042355 | 25280 | 68608 | 8520 | 120 | 8568 | 72 | 33216 | 25 | 0 | 0 | 47808 | 0 | 30831 | 16977 | 47808 | 44520 | 0 | 44520 | 6384 | 0.153061 | 0
extended-mnist-sample-4 (label=4) | TaskRoundRobin | On | 11012.000 | 503.529944 | 0.509807 | 0.277725 | 0.042489 | 0.042489 | 0.687439 | 0.027465 | 25280 | 63966 | 6199 | 120 | 6247 | 72 | 23932 | 34 | 4110 | 4110 | 50129 | 28193 | 14012 | 7924 | 21936 | 259252 | 229005 | 30247 | 2701 | 0.111944 | 0
extended-mnist-sample-4 (label=4) | ETAwareCostBalanced | Off | 13550.000 | 1404.976374 | 0.637638 | 0.362374 | 0.050431 | 0.050431 | 0.566257 | 0.061896 | 25280 | 68530 | 8520 | 120 | 8568 | 72 | 33294 | 1980 | 0 | 0 | 47808 | 0 | 30831 | 16977 | 47808 | 44520 | 0 | 44520 | 6384 | 0.153061 | 0
extended-mnist-sample-4 (label=4) | ETAwareCostBalanced | On | 10716.000 | 1595.273709 | 0.523890 | 0.285396 | 0.043663 | 0.043663 | 0.654610 | 0.053770 | 25280 | 63828 | 6199 | 120 | 6247 | 72 | 24070 | 2930 | 4110 | 4110 | 50129 | 28193 | 14012 | 7924 | 21936 | 259252 | 229005 | 30247 | 2701 | 0.111944 | 0
extended-mnist-sample-4 (label=4) | ETAwareCostBalancedMemoryAware | Off | 13369.000 | 4438.020953 | 0.646271 | 0.367280 | 0.051113 | 0.051113 | 0.559975 | 0.071216 | 25280 | 68469 | 8520 | 120 | 8568 | 72 | 33355 | 4035 | 0 | 0 | 47808 | 0 | 30831 | 16977 | 47808 | 44520 | 0 | 44520 | 6384 | 0.153061 | 0
extended-mnist-sample-4 (label=4) | ETAwareCostBalancedMemoryAware | On | 10729.000 | 4094.892611 | 0.523255 | 0.285050 | 0.043610 | 0.043610 | 0.645944 | 0.057591 | 25280 | 63837 | 6199 | 120 | 6247 | 72 | 24061 | 4550 | 4110 | 4110 | 50129 | 28193 | 14012 | 7924 | 21936 | 259252 | 229005 | 30247 | 2701 | 0.111944 | 0
extended-mnist-sample-4 (label=4) | BroadcastPhaseAwareFanoutBalanced | Off | 13448.000 | 761.946129 | 0.642475 | 0.365122 | 0.050813 | 0.050813 | 0.568215 | 0.061261 | 25280 | 68396 | 8520 | 120 | 8568 | 72 | 33428 | 684 | 0 | 0 | 47808 | 0 | 30831 | 16977 | 47808 | 44520 | 0 | 44520 | 6384 | 0.153061 | 0
extended-mnist-sample-4 (label=4) | BroadcastPhaseAwareFanoutBalanced | On | 10743.000 | 740.432409 | 0.522573 | 0.284679 | 0.043553 | 0.043553 | 0.655241 | 0.053355 | 25280 | 63744 | 6199 | 120 | 6247 | 72 | 24154 | 1106 | 4110 | 4110 | 50129 | 28193 | 14012 | 7924 | 21936 | 259252 | 229005 | 30247 | 2701 | 0.111944 | 0
extended-mnist-sample-61 (label=8) | OutputChannelModulo | Off | 16709.000 | 722.849668 | 0.788557 | 0.354254 | 0.062367 | 0.062367 | 0.547785 | 0.087819 | 25343 | 77987 | 12993 | 183 | 13104 | 72 | 50990 | 1023 | 0 | 0 | 43272 | 0 | 27766 | 15506 | 43272 | 67893 | 0 | 67893 | 5688 | 0.233418 | 0
extended-mnist-sample-61 (label=8) | OutputChannelModulo | On | 13307.000 | 565.409436 | 0.642218 | 0.284372 | 0.053122 | 0.053122 | 0.642312 | 0.060467 | 25343 | 70654 | 9276 | 183 | 9387 | 72 | 36021 | 1102 | 3965 | 3965 | 46989 | 27155 | 12641 | 7193 | 19834 | 267464 | 221663 | 45801 | 2400 | 0.167570 | 0
extended-mnist-sample-61 (label=8) | TaskRoundRobin | Off | 19193.000 | 677.103460 | 0.686500 | 0.308405 | 0.054295 | 0.054295 | 0.659235 | 0.028582 | 25343 | 85744 | 12993 | 183 | 13104 | 72 | 43233 | 46 | 0 | 0 | 43272 | 0 | 27766 | 15506 | 43272 | 67893 | 0 | 67893 | 5688 | 0.233418 | 0
extended-mnist-sample-61 (label=8) | TaskRoundRobin | On | 14263.000 | 573.283242 | 0.599173 | 0.265312 | 0.049561 | 0.049561 | 0.698501 | 0.032964 | 25343 | 73394 | 9276 | 183 | 9387 | 72 | 33281 | 44 | 3965 | 3965 | 46989 | 27155 | 12641 | 7193 | 19834 | 267464 | 221663 | 45801 | 2400 | 0.167570 | 0
extended-mnist-sample-61 (label=8) | ETAwareCostBalanced | Off | 17661.000 | 1481.902501 | 0.746051 | 0.335158 | 0.059005 | 0.059005 | 0.588074 | 0.069335 | 25343 | 79949 | 12993 | 183 | 13104 | 72 | 49028 | 1959 | 0 | 0 | 43272 | 0 | 27766 | 15506 | 43272 | 67893 | 0 | 67893 | 5688 | 0.233418 | 0
extended-mnist-sample-61 (label=8) | ETAwareCostBalanced | On | 13677.000 | 1816.384445 | 0.624845 | 0.276679 | 0.051684 | 0.051684 | 0.661963 | 0.059555 | 25343 | 72010 | 9276 | 183 | 9387 | 72 | 34665 | 2792 | 3965 | 3965 | 46989 | 27155 | 12641 | 7193 | 19834 | 267464 | 221663 | 45801 | 2400 | 0.167570 | 0
extended-mnist-sample-61 (label=8) | ETAwareCostBalancedMemoryAware | Off | 17576.000 | 4196.976959 | 0.749659 | 0.336779 | 0.059290 | 0.059290 | 0.576898 | 0.077291 | 25343 | 80009 | 12993 | 183 | 13104 | 72 | 48968 | 4803 | 0 | 0 | 43272 | 0 | 27766 | 15506 | 43272 | 67893 | 0 | 67893 | 5688 | 0.233418 | 0
extended-mnist-sample-61 (label=8) | ETAwareCostBalancedMemoryAware | On | 13734.000 | 4223.525030 | 0.622251 | 0.275531 | 0.051470 | 0.051470 | 0.655047 | 0.061211 | 25343 | 71955 | 9276 | 183 | 9387 | 72 | 34720 | 5032 | 3965 | 3965 | 46989 | 27155 | 12641 | 7193 | 19834 | 267464 | 221663 | 45801 | 2400 | 0.167570 | 0
extended-mnist-sample-61 (label=8) | BroadcastPhaseAwareFanoutBalanced | Off | 17075.000 | 955.890436 | 0.771654 | 0.346660 | 0.061030 | 0.061030 | 0.567150 | 0.078568 | 25343 | 78903 | 12993 | 183 | 13104 | 72 | 50074 | 1592 | 0 | 0 | 43272 | 0 | 27766 | 15506 | 43272 | 67893 | 0 | 67893 | 5688 | 0.233418 | 0
extended-mnist-sample-61 (label=8) | BroadcastPhaseAwareFanoutBalanced | On | 13326.000 | 926.546274 | 0.641303 | 0.283967 | 0.053046 | 0.053046 | 0.653476 | 0.060796 | 25343 | 71285 | 9276 | 183 | 9387 | 72 | 35390 | 1404 | 3965 | 3965 | 46989 | 27155 | 12641 | 7193 | 19834 | 267464 | 221663 | 45801 | 2400 | 0.167570 | 0
extended-mnist-sample-7 (label=9) | OutputChannelModulo | Off | 13905.000 | 606.639462 | 0.667961 | 0.363910 | 0.052829 | 0.052829 | 0.560758 | 0.066013 | 25289 | 69729 | 9159 | 129 | 9216 | 72 | 35974 | 1000 | 0 | 0 | 47160 | 0 | 30615 | 16545 | 47160 | 47859 | 0 | 47859 | 6168 | 0.164541 | 0
extended-mnist-sample-7 (label=9) | OutputChannelModulo | On | 11186.000 | 539.217024 | 0.543090 | 0.282019 | 0.044875 | 0.044875 | 0.663868 | 0.043176 | 25289 | 64529 | 6591 | 129 | 6648 | 72 | 25766 | 1125 | 4124 | 4124 | 49728 | 28180 | 13822 | 7726 | 21548 | 261129 | 228573 | 32556 | 2577 | 0.119048 | 0
extended-mnist-sample-7 (label=9) | TaskRoundRobin | Off | 14112.000 | 681.644057 | 0.658163 | 0.358572 | 0.052054 | 0.052054 | 0.590215 | 0.045556 | 25289 | 70081 | 9159 | 129 | 9216 | 72 | 35622 | 28 | 0 | 0 | 47160 | 0 | 30615 | 16545 | 47160 | 47859 | 0 | 47859 | 6168 | 0.164541 | 0
extended-mnist-sample-7 (label=9) | TaskRoundRobin | On | 11382.000 | 571.961121 | 0.533737 | 0.277163 | 0.044102 | 0.044102 | 0.680826 | 0.030963 | 25289 | 64900 | 6591 | 129 | 6648 | 72 | 25395 | 57 | 4124 | 4124 | 49728 | 28180 | 13822 | 7726 | 21548 | 261129 | 228573 | 32556 | 2577 | 0.119048 | 0
extended-mnist-sample-7 (label=9) | ETAwareCostBalanced | Off | 13923.000 | 1484.803707 | 0.667098 | 0.363439 | 0.052760 | 0.052760 | 0.562840 | 0.071371 | 25289 | 69880 | 9159 | 129 | 9216 | 72 | 35823 | 1636 | 0 | 0 | 47160 | 0 | 30615 | 16545 | 47160 | 47859 | 0 | 47859 | 6168 | 0.164541 | 0
extended-mnist-sample-7 (label=9) | ETAwareCostBalanced | On | 10955.000 | 1604.237167 | 0.554541 | 0.287966 | 0.045821 | 0.045821 | 0.650672 | 0.056750 | 25289 | 64679 | 6591 | 129 | 6648 | 72 | 25616 | 2486 | 4124 | 4124 | 49728 | 28180 | 13822 | 7726 | 21548 | 261129 | 228573 | 32556 | 2577 | 0.119048 | 0
extended-mnist-sample-7 (label=9) | ETAwareCostBalancedMemoryAware | Off | 13817.000 | 4452.396622 | 0.672215 | 0.366228 | 0.053165 | 0.053165 | 0.557608 | 0.074785 | 25289 | 69862 | 9159 | 129 | 9216 | 72 | 35841 | 4083 | 0 | 0 | 47160 | 0 | 30615 | 16545 | 47160 | 47859 | 0 | 47859 | 6168 | 0.164541 | 0
extended-mnist-sample-7 (label=9) | ETAwareCostBalancedMemoryAware | On | 10961.000 | 4397.589650 | 0.554238 | 0.287808 | 0.045796 | 0.045796 | 0.647766 | 0.062515 | 25289 | 64721 | 6591 | 129 | 6648 | 72 | 25574 | 4170 | 4124 | 4124 | 49728 | 28180 | 13822 | 7726 | 21548 | 261129 | 228573 | 32556 | 2577 | 0.119048 | 0
extended-mnist-sample-7 (label=9) | BroadcastPhaseAwareFanoutBalanced | Off | 13786.000 | 838.810578 | 0.673727 | 0.367051 | 0.053285 | 0.053285 | 0.562352 | 0.069070 | 25289 | 69765 | 9159 | 129 | 9216 | 72 | 35938 | 755 | 0 | 0 | 47160 | 0 | 30615 | 16545 | 47160 | 47859 | 0 | 47859 | 6168 | 0.164541 | 0
extended-mnist-sample-7 (label=9) | BroadcastPhaseAwareFanoutBalanced | On | 10965.000 | 895.936192 | 0.554036 | 0.287703 | 0.045780 | 0.045780 | 0.654692 | 0.055444 | 25289 | 64611 | 6591 | 129 | 6648 | 72 | 25684 | 1300 | 4124 | 4124 | 49728 | 28180 | 13822 | 7726 | 21548 | 261129 | 228573 | 32556 | 2577 | 0.119048 | 0
